feature	experiment 1	experiment 2	experiment 3	experiment 4	experiment 5	experiment 6	experiment 7	experiment 8	experiment 9	experiment 10	experiment 11	experiment 12	experiment 13	experiment 14	experiment 15	experiment 16	experiment 17	experiment 18	experiment 19	experiment 20	experiment 21	experiment 22	experiment 23
MGC10981	-3.412	-3.395	-3.740	-3.016	-4.163	-3.547	-3.946	-4.415	-3.611	-3.507	-3.310	-2.845	-3.803	-3.117	-4.008	-3.147	1.269	-3.327	-3.549	-3.283	-2.465	-3.938	-4.229
PHF20L1	-0.795	-0.638	-0.578	-0.349	-0.107	-0.519	-0.646	0.024	-0.546	-0.314	-0.599	-0.560	-0.236	-0.551	-0.105	-0.491	-0.502	-0.951	-0.656	-0.655	-0.675	-0.380	-0.429
NPBWR2	0.398	0.323	0.873	0.386	-0.054	1.578	-0.135	1.151	1.079	1.490	0.715	1.130	0.204	0.725	-0.058	0.739	0.473	0.965	1.151	0.555	0.992	0.908	0.840
FBXL8	1.564	1.096	1.307	1.163	-0.146	1.204	0.875	0.753	1.473	1.918	1.708	1.797	2.248	1.755	-1.830	1.179	-0.580	1.631	1.346	0.598	1.212	0.854	0.086
CCDC108	1.294	0.360	0.917	0.474	0.405	1.652	0.490	0.122	0.583	0.550	0.724	0.702	0.989	1.747	0.116	0.585	0.733	1.000	0.872	2.367	0.903	0.232	0.457
OR1E2	0.931	1.113	0.682	0.854	0.636	1.341	1.028	1.016	0.713	1.133	1.335	1.413	1.260	1.347	0.274	0.557	1.077	1.230	0.782	1.288	0.989	1.116	0.416
GOLPH3	0.162	0.306	-0.024	-0.440	0.456	0.242	0.371	-0.054	0.298	0.302	0.579	0.366	0.123	-0.011	0.426	0.073	0.350	-1.033	0.209	0.020	-0.216	0.037	0.540
YARS2	-0.562	-0.532	-0.617	-0.427	-0.271	-0.695	-0.901	-0.984	-0.910	-1.021	-0.218	-0.316	-0.910	-0.796	-0.838	-0.493	-0.714	-1.089	-0.759	-0.683	-0.880	-0.821	-1.030
KHDRBS2	-1.232	-1.853	-0.653	-1.066	-1.619	-0.349	-0.345	-1.623	-0.420	-1.569	-1.303	-0.052	-1.711	-1.583	-1.038	-2.351	-1.741	-1.089	-1.391	1.304	-0.894	-0.390	-1.707
CBLC	3.047	1.108	-0.033	-0.668	1.482	-0.292	-0.301	0.176	0.081	0.771	-0.657	1.834	0.375	1.647	-0.323	2.328	-0.055	1.969	-0.683	2.938	2.220	-1.084	-0.230
DDHD2	0.341	0.369	0.378	-0.460	0.853	-0.016	0.260	-0.457	0.388	0.443	0.024	0.406	1.358	0.200	0.733	-0.163	0.219	0.101	0.178	-0.467	0.203	-0.157	0.184
VN1R3	0.754	0.575	0.439	0.188	0.172	0.509	0.716	-0.144	-0.017	0.822	0.549	0.172	0.551	0.568	0.571	-0.042	0.207	-0.350	0.643	0.137	0.075	0.357	-0.056
TRIM7	-0.853	0.759	-1.640	-2.475	0.772	-0.754	-1.491	0.132	-0.799	-1.224	0.200	-1.613	-2.370	-1.800	-0.053	-2.022	-1.234	-1.724	0.139	-2.026	-2.109	-0.011	-0.524
APEX2	-0.734	-1.322	-0.877	-0.653	-0.376	-1.208	-1.479	-0.894	-0.322	-0.472	-0.626	-0.639	-0.906	0.571	-0.628	-0.218	-0.462	-0.130	-0.542	0.188	-0.179	-0.564	-1.048
ZMYND11	0.446	0.671	0.888	0.052	1.338	0.917	0.546	0.865	0.407	1.062	0.849	1.482	0.399	1.337	1.191	0.944	0.589	0.854	0.876	1.048	0.752	1.029	0.647
DEFB127	-0.073	0.146	-0.075	0.339	-0.841	0.951	1.757	NA	0.990	-1.942	0.057	-0.508	0.778	0.106	0.155	-2.283	-0.098	0.603	-1.276	-2.697	-0.623	0.530	-0.759
PGM5	0.621	2.289	2.114	0.883	0.725	2.132	1.149	1.106	0.985	1.506	2.392	1.721	0.766	1.540	1.052	2.288	1.384	1.655	1.639	2.608	1.439	1.677	1.393
ROPN1L	2.491	1.934	2.534	-0.854	-0.744	0.384	1.919	-0.257	1.480	1.933	2.090	2.024	1.320	3.082	1.034	0.426	-0.162	0.253	1.610	0.738	0.422	0.610	1.804
REG1B	0.318	2.277	3.263	2.012	0.466	3.453	0.364	-0.123	1.420	3.261	5.453	6.006	2.660	3.357	0.133	5.277	4.531	5.020	3.978	4.286	5.020	2.715	1.035
ELOVL6	-0.152	-2.065	-1.666	-1.087	-1.107	-1.876	-1.962	-1.716	-1.549	-2.418	-2.277	-2.456	-2.092	-1.821	-2.242	-2.439	-1.709	-0.777	-2.398	-1.085	-1.825	-2.300	-1.211
MAOB	2.742	4.061	4.352	4.076	-0.965	5.077	4.042	4.605	3.859	4.459	3.825	4.077	4.664	4.160	5.027	4.522	4.087	4.626	4.614	4.348	4.905	5.257	5.187
MBOAT1	-1.202	-0.932	-1.228	-1.084	-1.756	-2.771	-0.595	-0.670	-1.566	-0.799	-0.639	-1.099	-0.999	-0.543	-1.275	-1.204	-0.768	-2.433	-1.344	-1.542	-1.713	-0.924	-1.459
CRH	-0.354	-1.427	-0.276	-0.487	1.724	-0.840	-0.178	-0.368	-0.817	-0.302	-0.859	-0.668	-0.475	-2.130	-0.462	-0.682	-0.563	-0.558	-1.140	-1.914	-0.075	-0.915	-0.356
LCE2B	0.204	0.234	0.121	0.312	0.219	0.167	0.259	-0.003	0.337	0.030	0.176	0.357	0.070	0.569	0.296	0.249	-0.059	0.238	0.336	0.425	0.095	0.127	0.327
ITGB1BP1	0.193	0.264	-0.311	0.111	0.428	-0.070	-0.302	-0.799	-0.131	-0.405	-1.019	-0.406	-0.481	-1.107	-0.029	-0.828	-0.492	-1.572	-0.522	-1.554	-0.948	-0.134	-0.520
KIRREL	-0.564	-0.615	0.353	0.343	-0.149	-1.357	-0.933	-0.791	0.789	0.072	-0.171	-0.216	0.333	0.198	-0.178	0.402	0.605	0.697	-0.322	0.141	0.064	0.026	-0.615
ARRB2	0.677	0.966	0.963	0.741	0.488	-0.302	0.283	0.573	0.147	0.745	0.978	0.780	0.359	0.676	0.434	1.056	1.518	0.449	0.162	0.821	0.996	0.301	0.578
PRDX5	1.504	1.064	1.090	0.232	1.250	0.287	0.345	0.118	0.503	0.612	0.845	0.777	1.126	0.622	0.417	0.840	0.517	1.145	1.040	0.561	0.486	0.310	1.140
RRM1	-2.366	-2.539	-2.293	-1.282	-1.596	-1.641	-1.834	-1.249	-0.765	-1.889	-2.343	-1.893	-1.781	-1.800	-1.260	-1.807	-1.255	-1.732	-1.881	-2.062	-1.409	-1.640	-1.625
TMEM26	-0.093	1.637	-0.322	-0.055	-1.471	0.445	0.879	0.744	-0.435	1.753	1.820	-0.700	1.033	-0.045	1.039	0.012	-0.279	-0.009	0.658	0.451	0.382	1.079	1.381
PADI1	1.061	1.450	0.554	1.676	0.217	2.609	0.525	0.950	0.211	0.244	1.030	0.071	0.964	0.075	0.838	2.786	3.002	0.630	1.044	0.615	1.017	-0.079	1.893
C4orf12	2.689	2.538	2.170	0.876	1.600	3.539	3.860	2.686	1.883	1.810	2.088	3.297	3.291	0.858	2.833	2.022	0.587	1.812	2.515	2.264	2.070	2.547	2.330
PDLIM3	1.141	0.477	1.000	1.590	1.052	2.322	-0.331	-0.461	1.918	0.152	0.661	1.014	1.404	2.244	1.461	2.329	1.036	1.247	-0.173	1.834	1.514	2.471	0.791
LILRA1	1.906	2.617	2.599	2.104	0.956	1.496	1.656	2.553	1.701	2.174	2.384	2.384	1.705	2.033	1.714	2.574	2.832	2.010	1.612	2.226	1.639	2.883	2.693
GGCX	0.213	0.582	0.775	-0.362	0.594	0.735	0.423	0.117	0.446	0.798	0.413	0.736	0.680	0.208	0.282	0.089	0.507	0.336	0.144	0.146	0.521	0.491	0.810
SPAR	0.396	0.078	0.416	-0.012	0.372	0.480	0.326	0.042	-0.236	0.144	0.115	0.200	0.451	-0.199	0.254	-0.335	-0.138	-0.317	0.329	0.151	0.293	0.475	0.251
ZNF792	0.335	0.403	0.933	0.494	-0.358	-0.027	0.484	-0.198	0.114	0.032	0.272	0.721	0.353	0.406	1.028	0.032	0.457	-0.682	1.034	0.320	0.042	0.449	0.160
LOC619208	3.100	1.628	1.478	0.498	1.862	2.171	2.429	0.987	1.299	1.246	1.535	1.971	1.701	1.419	0.926	0.378	-0.400	0.998	1.159	0.303	0.320	1.189	1.112
DSP	-1.188	-1.388	-1.080	-0.251	0.188	-1.293	-4.442	-5.161	-2.329	-2.275	-1.089	-1.089	-3.778	-1.199	-4.057	0.080	-0.613	-0.051	-1.068	-0.457	-0.414	-2.061	-3.527
ASNS	-1.668	-1.850	-2.327	-1.430	-0.689	-2.842	-3.196	-2.007	-1.778	-2.150	-2.515	-2.802	-2.102	-2.466	-2.788	-1.479	-1.705	-1.176	-2.619	-2.167	-2.493	-2.867	-1.608
LDB2	0.171	3.205	3.309	2.452	2.569	3.686	3.543	3.318	2.739	2.905	3.067	3.026	2.617	2.244	4.013	2.519	1.725	0.831	4.079	2.707	2.185	3.800	3.236
UGP2	1.124	0.223	0.326	0.224	1.299	0.700	0.695	0.394	0.564	0.385	0.703	1.302	0.270	0.589	0.412	0.141	0.392	0.074	0.725	0.683	0.807	0.636	0.103
INSL5	-0.503	1.923	1.861	1.200	0.519	0.890	0.828	1.044	-0.081	0.512	0.038	0.003	-0.025	0.622	0.436	2.083	1.402	0.954	0.339	1.404	0.929	-0.064	0.565
VPS18	2.187	0.901	0.811	0.596	1.222	0.697	0.183	0.603	2.454	1.324	1.211	0.640	1.152	0.597	0.490	1.429	1.102	3.384	1.667	1.383	1.108	1.350	0.771
TMEM112	1.309	0.249	0.304	0.278	1.341	0.206	-0.249	-0.415	0.571	0.521	0.648	0.602	0.392	1.141	0.007	0.892	0.346	1.448	0.584	0.910	0.429	0.521	0.841
ACAD11	0.107	2.454	2.302	2.594	-0.562	4.052	3.612	3.053	0.860	2.789	3.239	1.841	4.202	2.025	3.223	2.989	2.890	3.261	3.962	2.993	3.716	3.621	4.268
C19orf59	1.684	2.173	1.433	0.511	-0.168	-0.314	0.834	-0.431	2.913	1.808	1.176	1.558	0.598	0.514	0.807	0.255	-0.156	0.183	-0.395	0.426	-0.047	1.393	0.903
SRP68	-0.405	-0.115	-0.034	-0.015	0.312	-0.271	-0.500	-0.229	-0.041	0.081	-0.101	0.111	0.338	0.104	0.041	0.012	0.342	-0.329	0.133	0.157	0.038	0.207	0.360
ZNF720	0.105	-0.987	-0.952	-0.766	-0.233	-0.748	-0.667	-0.722	-0.535	-0.933	-0.721	-0.996	-2.124	-1.258	-0.449	-0.934	-0.546	-1.857	-0.875	-1.252	-0.967	-1.285	-1.092
KIAA0664	-0.984	-0.880	-0.698	-1.097	-0.296	-0.762	-0.823	-1.310	-1.242	-0.884	-0.700	-0.675	-0.702	-0.839	-1.300	-0.342	0.585	1.345	-0.443	-0.334	-0.495	-0.230	0.002
FOXP3	0.033	-0.068	0.251	0.618	-0.247	0.504	0.192	-0.059	0.326	0.266	0.258	-0.034	0.263	0.411	0.097	0.983	1.010	0.585	0.780	0.323	0.603	0.224	0.269
PQLC1	-0.655	0.044	0.390	-0.598	-0.563	0.119	0.086	-0.326	-0.381	0.143	-0.136	-0.182	-0.177	-0.350	-0.867	-0.296	0.155	1.048	0.334	0.124	0.278	0.224	0.489
LRP6	-0.529	-0.197	-0.111	-0.887	1.070	0.618	0.395	0.273	-0.173	0.189	0.375	0.460	0.320	0.261	0.692	0.433	-1.131	0.410	-0.090	0.274	-0.325	0.082	0.586
FLII	-0.601	-0.337	0.075	-0.401	-0.381	-0.774	-1.329	-0.665	-0.467	-0.157	-0.476	-0.843	-0.347	-0.603	-0.095	0.822	1.176	1.063	-0.155	0.564	0.433	0.130	0.264
C17orf45	1.353	1.698	0.071	1.048	0.103	1.767	2.958	-0.036	0.154	-0.244	0.453	0.852	0.410	-0.705	-0.004	-0.897	-0.389	-0.517	0.714	-0.272	-0.248	0.806	-0.364
C2orf21	-1.103	0.474	0.346	-0.606	-0.994	-0.760	0.215	-0.398	0.234	0.735	0.542	1.492	0.391	0.014	-0.054	0.037	-1.158	-0.596	0.058	0.209	0.040	0.009	-0.899
RASGRP1	0.263	0.464	1.104	3.046	-1.055	0.198	0.404	1.336	0.271	0.903	0.722	0.635	0.311	0.953	1.126	1.164	2.015	1.397	1.326	2.238	1.945	1.412	0.632
ULBP2	-0.649	-1.079	-0.729	-0.643	-0.815	-0.956	-0.028	-1.841	-0.422	-1.257	-0.448	-0.772	-1.087	-0.571	-0.207	-0.639	-0.672	-1.115	-1.116	-1.143	-1.286	-0.592	-1.163
TP53	-0.668	-0.531	-0.797	-0.297	-0.934	-1.539	-0.987	-1.145	-1.056	-1.277	-0.969	-0.704	-0.544	-1.145	-0.305	-0.498	0.115	-0.826	-0.837	-0.404	-0.506	-1.255	-0.904
KIAA0467	-0.865	0.154	0.541	0.683	-0.656	-0.542	-0.715	0.152	-0.073	0.077	-0.462	-0.421	0.413	0.692	0.409	0.600	0.832	1.413	-0.049	0.013	0.187	-0.188	0.095
SLC25A24	-1.030	-0.728	-1.080	-0.284	-0.843	-0.174	0.242	-0.241	-0.033	-0.766	-0.604	-0.429	-0.169	-0.912	0.492	-0.890	-0.022	-2.624	-0.152	-1.131	-0.852	0.088	-0.601
MRPL11	0.177	0.941	0.023	-0.338	-0.910	-0.210	0.539	-0.525	-0.261	-0.450	0.414	0.636	0.427	-0.331	-0.635	-0.756	-0.795	-0.724	-0.164	-0.535	-0.981	-0.654	-0.319
CCDC33	0.925	0.965	1.256	1.184	0.327	1.911	1.341	0.772	1.624	1.574	1.175	1.903	1.238	1.601	0.351	0.899	1.228	1.690	0.886	0.723	1.460	1.370	0.591
CCR1	0.681	-0.220	-0.416	0.295	-1.209	-0.539	0.038	0.889	0.918	1.020	0.637	0.729	-0.666	1.120	0.991	0.599	1.227	0.225	-0.310	0.390	0.882	0.366	0.402
DAXX	-0.603	0.448	-0.259	-0.148	-1.024	-0.382	-0.317	-0.556	-0.641	-0.358	-0.191	-0.139	-0.624	-0.328	-0.728	-0.066	0.300	0.223	-0.291	-0.312	-0.385	-0.666	-0.510
PSMA3	-0.198	-0.397	-1.075	-1.233	-1.310	-0.352	-0.161	-0.552	-0.587	-0.760	-0.598	-1.109	-0.990	-1.359	-0.467	-1.070	-1.171	-1.755	-0.416	-0.888	-0.513	-0.437	-0.438
KIAA1191	1.205	1.451	2.216	0.959	1.835	1.221	1.099	0.567	1.489	1.187	1.835	1.610	0.982	1.725	1.345	1.627	2.062	2.157	1.742	1.252	2.131	1.224	1.942
DNAJB12	0.911	0.728	0.853	0.727	0.659	0.689	0.495	0.702	0.554	0.658	0.894	0.897	0.287	0.944	0.524	0.810	1.359	0.991	0.941	1.113	0.927	0.879	0.636
ECEL1P2	-1.627	-0.951	-0.832	-1.492	-0.698	-0.804	-1.089	-1.341	-0.947	-1.548	-1.212	-1.234	-1.562	-1.340	-0.446	-1.333	-1.766	-1.036	-0.999	-1.736	-1.581	-1.084	-1.073
ITGB3BP	-1.132	-0.823	-0.948	-1.288	-2.506	-1.498	-0.293	-1.898	-1.741	-2.228	-1.368	-1.220	-2.007	-1.859	-1.694	-1.647	-1.828	-1.890	-1.771	-1.397	-1.509	-1.818	-2.130
LOC339809	1.855	1.024	1.490	1.189	0.988	1.132	1.184	0.897	1.496	1.870	1.982	2.421	1.400	1.740	-0.931	1.421	0.426	2.269	1.517	0.957	1.219	0.962	0.089
FBXO17	0.552	1.930	2.626	1.483	0.166	2.245	1.619	2.057	0.644	1.843	1.538	0.701	2.403	1.538	2.065	2.267	1.337	2.437	2.255	2.019	2.099	1.691	2.364
C14orf126	-0.761	-0.217	-0.945	-1.119	-0.626	-0.128	0.098	0.061	-0.898	-0.211	-0.259	-0.405	-0.072	-0.928	0.423	-1.258	-1.241	-1.292	-1.326	-0.864	-0.862	0.263	-0.401
CPA4	-2.436	-2.687	-2.809	-1.949	-2.894	-2.700	-2.717	-3.257	0.363	-1.959	-2.328	-1.365	-2.755	0.355	-2.918	-1.484	-0.622	-1.134	-2.674	-1.648	-0.933	-2.958	-3.077
EPB49	1.610	1.675	1.996	0.357	2.395	1.052	1.871	1.301	-0.426	1.065	1.915	1.005	1.612	1.793	0.913	1.357	1.333	2.302	1.662	1.217	1.496	0.820	1.644
ECHDC3	2.170	2.399	3.002	0.849	3.684	3.723	3.927	2.800	2.238	3.153	2.999	2.996	2.550	2.880	3.447	2.635	1.219	3.616	3.594	2.814	3.186	3.560	3.420
IFT140	0.807	0.213	0.591	0.296	0.067	0.100	-0.198	-0.397	0.594	0.294	-0.102	0.086	0.604	0.524	0.150	1.211	0.391	1.917	0.412	0.754	0.367	0.383	0.818
SMARCA1	-0.757	-0.621	-0.723	-0.077	0.301	-0.234	-0.256	-0.381	0.781	-0.517	-0.697	-0.141	0.341	-0.855	0.978	-0.527	-0.198	-1.339	0.257	-0.366	-0.997	0.259	-0.068
TMEM102	0.399	0.983	0.347	0.636	-0.134	1.240	0.719	0.352	0.344	0.931	1.307	1.179	0.881	1.616	0.049	1.051	0.456	1.398	0.970	1.558	0.977	1.070	0.330
AZU1	-0.392	-0.550	-0.190	-0.796	-0.019	-1.385	-0.341	-0.873	-0.908	0.145	-0.157	-0.289	0.050	-0.543	-0.419	-0.478	0.177	0.603	-0.608	-0.647	-0.061	-0.296	-0.210
C14orf145	-1.872	-2.160	-1.995	-1.173	-2.207	-1.821	-1.519	-1.512	-1.584	-1.533	-1.344	-1.687	-1.807	-2.163	-1.668	-1.918	-1.113	-2.450	-1.964	-1.626	-1.563	-1.626	-1.574
ZNF791	0.346	0.812	0.769	0.628	0.375	-0.088	0.455	-0.127	-0.070	-0.056	0.150	0.246	0.987	-0.126	0.531	0.690	1.446	0.184	0.223	0.541	0.137	-0.246	0.101
COX15	0.690	0.342	0.335	0.022	0.410	0.534	0.570	0.188	-0.003	-0.140	0.145	0.784	0.277	-0.600	0.165	0.320	-0.616	0.329	0.588	0.330	0.103	0.122	0.259
SLC30A5	-0.485	0.237	-0.404	-0.871	0.014	0.031	0.115	-0.262	0.163	0.150	0.052	0.165	0.309	-0.843	0.192	-0.005	0.008	-1.419	-0.113	-0.234	-0.397	-0.150	0.341
PURA	0.818	1.510	1.829	0.425	1.431	1.765	1.236	1.603	2.159	1.532	2.395	0.985	2.010	1.737	1.081	2.045	1.825	3.085	2.414	1.730	1.710	1.810	1.625
PDXDC1	-1.016	-0.483	-0.719	-0.806	-0.728	-0.996	-1.076	-0.915	-0.714	-0.726	-0.512	-0.567	-0.506	-0.208	-0.666	0.407	0.466	0.688	-0.629	-0.394	-0.686	-0.927	0.006
HIST1H2AA	-0.474	1.091	0.011	0.091	-0.073	0.885	0.030	0.230	0.098	-0.183	0.143	0.758	0.495	0.341	0.685	0.199	0.717	1.174	0.873	-0.205	0.236	0.354	0.921
SOS2	0.924	0.859	0.783	0.725	1.367	1.799	1.256	1.345	1.008	1.642	1.182	0.785	1.749	1.271	1.484	0.418	0.248	-0.389	1.202	0.883	0.503	1.312	0.837
LIMD2	-0.652	0.309	0.437	1.062	-1.146	-1.112	-0.050	0.655	-0.749	0.395	0.716	0.088	-0.406	0.266	-0.526	0.409	1.672	0.160	0.050	0.557	1.403	-0.184	-0.002
CARD10	-0.311	-0.423	-0.078	0.054	-1.030	-0.214	-0.770	0.116	0.663	0.756	-0.436	-0.182	-0.162	1.007	0.457	0.079	0.795	1.045	0.198	0.426	1.091	0.789	0.479
GTDC1	0.745	0.574	0.824	0.625	0.444	0.861	0.655	0.590	1.075	0.919	0.718	1.044	0.782	1.108	0.545	0.584	0.794	0.884	0.600	0.606	0.939	0.671	0.560
PIAS4	0.228	-0.769	-0.620	-0.533	-0.743	-0.336	-0.519	-0.879	-0.508	-0.251	-0.096	-0.297	-0.747	-1.090	-1.224	-0.208	0.347	0.937	-0.034	-0.270	0.266	0.062	0.117
TAS2R13	0.306	0.293	0.676	0.007	-0.466	0.374	0.631	0.006	0.519	-0.317	0.374	0.036	-0.190	-0.385	0.200	0.232	0.246	1.073	-0.057	0.015	0.103	0.400	0.271
NARFL	1.084	0.564	0.436	0.357	0.061	0.205	-0.019	0.177	0.162	0.752	0.706	0.654	0.769	1.821	0.002	0.947	0.266	1.700	0.435	0.839	0.019	0.138	0.453
SLC43A2	0.851	2.341	2.337	1.910	2.661	1.604	1.933	1.834	0.625	2.455	2.091	1.985	2.366	2.464	0.871	1.695	1.221	1.648	1.075	1.873	1.885	1.916	1.692
PSKH1	0.254	0.239	0.356	-0.271	0.841	-0.337	-0.093	0.363	-0.171	-0.076	0.217	0.678	0.136	0.635	-0.222	0.179	-0.505	0.388	-0.246	0.463	0.058	-0.077	0.443
PCCB	0.119	-1.062	-1.317	-1.497	0.641	-1.258	-1.381	-1.655	-1.482	-1.492	-1.254	-0.987	-0.980	-1.979	-1.838	-1.217	-1.082	-0.902	-1.101	-0.806	-1.475	-1.051	-0.573
GSTO1	1.292	1.105	0.523	0.299	0.281	0.084	0.812	0.173	-0.388	-0.195	0.835	0.342	-0.264	-0.111	-0.057	0.030	-0.556	-0.504	0.231	0.287	0.275	-0.043	0.481
MCAT	1.175	0.944	1.159	0.374	0.821	0.925	0.875	0.495	0.879	1.036	1.452	1.418	1.403	0.891	-0.664	0.948	-0.312	1.566	1.218	0.914	0.850	0.881	0.275
RAB11FIP4	-1.212	-1.430	-0.991	-1.156	-0.402	-1.278	-1.681	-1.275	-0.356	-0.862	-1.176	-1.355	-1.287	-1.326	-1.807	-0.434	-0.559	-0.138	-1.186	-0.186	-0.329	-1.291	-0.971
PSG4	-1.615	-2.202	-1.745	-1.657	-1.477	-2.083	-3.445	-1.803	-3.290	-1.094	-1.469	-1.381	-0.645	-1.774	-1.071	-1.902	-1.668	-1.345	-2.630	-2.005	-1.959	-2.776	-1.198
SLC35F3	-2.148	-1.085	0.002	-1.440	2.096	-1.911	0.203	1.844	1.912	1.692	-2.649	1.618	-0.196	2.316	0.682	-0.803	2.836	-1.280	-2.960	0.300	1.200	-0.461	0.521
PZP	-0.466	1.025	1.133	0.409	0.723	0.559	0.605	1.137	1.418	0.583	1.235	0.744	1.139	0.782	1.415	1.729	1.696	-0.227	1.726	1.751	1.141	1.810	1.992
SAP30	-1.307	-0.316	-0.286	0.548	-1.225	0.361	0.024	0.436	0.762	0.229	0.133	0.050	0.017	0.470	0.420	-0.667	0.261	-0.129	0.226	-0.195	-0.472	0.358	-0.017
PSMB5	-0.811	-0.316	-0.675	-0.699	-0.673	-0.048	0.028	-0.364	-0.196	-0.190	-0.180	-0.618	-0.462	0.209	-0.385	-1.006	-1.271	-1.284	-0.221	-0.780	-0.773	-0.211	-0.482
WDR32	0.085	-0.015	0.070	-0.203	0.615	-0.090	-0.143	-0.393	-0.919	-0.525	-0.209	0.105	0.247	-0.776	0.186	-0.500	-0.077	-1.206	-0.151	0.243	-0.669	-0.252	-0.298
TXNL4A	-1.168	-0.378	-0.364	-0.556	0.115	-0.304	-0.445	-0.114	-1.011	-0.359	-0.318	-0.512	-0.463	-0.657	-0.476	-0.756	-0.905	-0.534	-0.640	-0.336	-0.269	-0.350	0.051
SP2	-0.521	0.129	0.194	-0.032	0.297	-0.898	-0.703	0.002	-0.761	-0.730	-0.126	-0.641	-0.073	-1.029	0.266	-0.147	0.295	-0.830	-0.676	-0.119	-0.289	-0.478	-0.170
CALCB	-0.277	-0.689	-1.539	-1.516	1.299	-1.002	-0.979	-1.109	0.302	-1.333	-1.002	-0.490	-2.034	-1.958	-0.444	-1.685	-1.799	-1.552	1.012	-1.646	-1.491	-1.356	-1.028
BEST3	-1.049	-0.811	-0.413	-1.178	-1.661	-1.034	-1.197	-0.731	-0.558	-0.774	-1.597	-1.619	-1.193	-1.086	-1.005	-0.737	-0.484	0.382	-1.397	-0.862	-0.672	-1.096	-0.944
ENPP3	-1.125	5.292	5.141	5.243	-2.905	6.129	5.578	4.797	4.877	4.915	4.699	4.707	4.991	3.715	4.996	4.434	3.792	4.317	4.587	4.072	4.663	5.064	5.082
ZC3H15	0.047	-0.057	-0.324	-0.486	0.028	-0.222	-0.130	-0.416	-0.631	-0.233	-0.105	-0.238	-0.298	-1.715	-0.378	-0.760	0.064	-1.506	-0.516	-0.138	-0.401	-0.564	-0.099
TTLL1	0.587	-0.286	0.378	-0.283	1.331	-0.006	-0.401	-0.269	0.048	-0.451	-0.025	-0.273	0.078	-0.516	0.634	0.204	0.355	0.480	0.106	0.526	0.069	0.179	0.482
TSHZ1	-0.499	0.798	1.567	0.143	0.187	1.397	1.622	1.530	1.444	1.239	1.145	0.227	1.159	0.869	2.221	0.770	0.856	1.156	1.199	1.085	1.164	1.298	1.685
GDI1	-0.041	-0.029	0.462	0.265	0.541	-0.387	-0.626	-0.092	0.199	-0.040	-0.252	-0.379	0.167	0.136	0.246	0.627	0.782	0.897	0.205	0.367	0.743	-0.049	0.327
KCNH6	-0.340	-0.397	0.545	0.318	-0.706	-0.127	0.877	1.448	-0.181	0.531	0.422	-0.653	1.198	0.866	0.569	1.252	0.423	2.206	0.963	1.945	0.944	0.898	1.955
OR52B2	0.152	0.044	0.578	0.392	0.063	0.287	-0.578	0.017	0.112	0.530	0.054	0.319	-0.412	-0.639	0.247	0.633	0.723	0.420	0.375	0.323	0.474	0.721	0.388
LOC595101	0.392	0.354	-0.435	0.460	0.703	0.032	0.651	0.454	-0.219	0.107	-0.363	-0.086	0.361	-0.669	-0.159	-0.272	-0.321	-0.807	-0.232	-0.448	-1.093	-0.869	-0.638
RAE1	-0.914	-1.063	-1.280	-1.136	-1.561	-1.445	-1.351	-1.620	-1.649	-1.345	-1.733	-1.068	-1.262	-1.229	-1.520	-1.385	-1.544	-1.657	-1.641	-1.453	-1.737	-1.941	-1.670
PDS5B	0.273	-0.009	-0.144	-0.163	0.601	0.728	0.429	0.754	0.197	0.220	0.204	0.035	0.658	0.275	0.483	0.366	-0.159	0.226	0.249	0.075	0.049	0.695	0.352
C1orf106	0.510	0.410	1.059	0.213	-1.313	0.087	0.596	0.088	-0.544	0.697	0.196	0.473	0.180	1.147	0.350	0.820	1.821	0.741	0.500	1.944	1.159	0.443	0.445
DRD5	-1.589	-2.440	-1.567	-2.404	-3.037	-1.899	-2.901	-2.345	-2.104	-1.731	-1.964	-1.770	-2.648	-2.822	-2.233	-1.567	0.149	1.641	-1.776	-1.191	-0.554	-1.962	-1.146
C6orf113	-0.090	-0.896	-0.621	-0.177	-0.160	-0.493	-0.358	-0.695	-0.885	-0.828	-0.184	-0.234	-1.081	-0.389	-1.036	-0.687	-0.707	-0.914	-0.338	-0.562	-0.436	-0.881	-0.862
LMO4	0.305	0.153	0.854	0.845	-0.106	-1.264	0.440	0.608	-1.170	-0.387	1.157	0.787	0.536	0.639	-0.378	-0.114	0.546	-1.571	0.331	-0.592	-0.231	-1.117	-1.569
KIAA0586	-0.916	-0.959	-1.121	-0.960	-0.969	-0.473	-0.896	-0.686	-0.168	-0.657	-0.957	-1.301	-0.580	-0.688	-0.363	-0.921	-1.132	-1.377	-0.864	-1.052	-1.036	-0.785	-0.648
RNMT	-1.203	-0.544	-0.669	-0.911	-0.430	-0.423	-0.585	-0.822	-0.525	-0.829	-0.511	-0.232	-0.731	-0.905	-0.642	-1.315	-0.999	-1.037	-0.703	-0.813	-1.026	-0.850	-1.054
IMPAD1	-0.072	-0.386	-0.133	-0.467	-0.587	-0.644	-0.125	-1.090	-0.638	0.017	-0.195	0.368	-0.467	0.573	-0.340	-0.432	-0.050	-1.395	-0.208	-0.753	-0.510	-0.414	-0.398
