feature	experiment 1	experiment 2	experiment 3	experiment 4	experiment 5	experiment 6	experiment 7	experiment 8	experiment 9	experiment 10	experiment 11	experiment 12	experiment 13	experiment 14	experiment 15	experiment 16	experiment 17	experiment 18	experiment 19	experiment 20	experiment 21	experiment 22	experiment 23	experiment 24	experiment 25	experiment 26	experiment 27	experiment 28	experiment 29	experiment 30	experiment 31	experiment 32	experiment 33	experiment 34	experiment 35	experiment 36	experiment 37	experiment 38	experiment 39	experiment 40	experiment 41	experiment 42	experiment 43	experiment 44	experiment 45	experiment 46	experiment 47	experiment 48	experiment 49
UBE2C	-2.649	-2.976	-1.795	-2.056	-2.563	-2.838	-2.555	-0.642	-4.541	-2.764	-3.025	-2.964	-2.971	-2.752	-2.315	-3.168	-3.478	-3.166	-2.904	-2.364	-0.117	-0.897	-3.153	-3.172	-3.817	-3.266	-3.413	-3.313	-3.107	-2.940	-2.365	-2.236	-3.802	-3.089	-2.670	-1.321	-2.378	-1.639	-3.181	-2.562	-1.789	-3.066	-3.151	-3.128	-2.174	-0.189	-2.797	-2.802	-2.630
LOC283345	0.206	-0.479	-0.107	-0.342	1.228	0.052	-0.781	1.390	0.217	-0.106	-0.450	-0.264	0.177	-0.344	-0.169	0.294	0.471	-0.111	-0.281	-0.343	-0.418	1.728	0.112	0.160	-0.290	0.253	-0.568	-0.018	-0.495	0.333	0.169	-0.283	-0.270	-0.215	0.053	-1.699	0.552	0.379	-0.307	-0.316	-2.092	0.723	-0.180	0.299	-0.460	0.029	-0.583	-0.648	-2.609
FNTA	0.242	0.385	0.573	0.190	0.291	0.422	0.261	0.240	-0.143	0.459	0.263	-0.059	0.056	0.156	0.190	0.223	-0.015	0.156	-0.546	0.331	-0.222	0.041	0.127	0.187	0.211	0.056	0.071	0.638	0.202	-0.058	-0.358	0.212	0.180	0.365	0.195	-0.059	0.238	-0.682	0.267	-0.298	0.009	-0.364	0.024	0.176	-0.167	-0.668	0.284	0.225	0.365
FBXW5	-0.229	0.535	0.363	0.583	0.061	0.019	-0.607	-0.154	0.226	0.148	0.375	0.494	0.190	0.438	-0.141	0.225	0.122	0.685	0.974	0.218	-0.390	-0.376	0.023	0.366	-0.084	-0.108	-0.044	-0.208	-0.392	-0.231	0.522	-0.178	-0.148	-0.767	0.487	-0.360	0.039	0.585	0.864	0.315	0.339	-0.064	0.025	-0.394	0.476	-0.191	-0.509	0.814	-0.239
FKBP1B	-2.526	-1.201	-1.118	-1.281	-2.312	-1.692	-1.268	-0.346	-1.655	-1.681	-1.256	-2.009	-2.103	-1.799	-1.511	-1.209	-2.094	-1.995	-1.909	-2.053	-2.572	-1.588	-0.360	-1.151	-1.778	-1.596	-1.185	0.798	-0.281	-1.295	-1.575	-1.200	-0.909	-1.953	-2.189	-2.004	1.255	-2.010	-0.954	-0.363	-1.349	2.727	-1.800	-0.494	-2.072	-1.453	-0.664	-1.965	-1.332
LYZ	0.284	1.605	2.119	2.257	-1.293	1.923	1.709	1.243	1.949	1.006	1.079	1.500	1.162	5.077	-2.493	-0.746	-0.980	0.940	2.756	1.479	2.122	-0.296	0.116	1.893	2.282	0.977	-0.286	1.383	-1.078	1.742	1.123	3.012	1.611	0.766	2.437	0.864	-2.500	-0.959	-3.254	-0.092	-3.168	0.255	0.453	-0.436	-1.812	-0.228	1.218	-2.558	1.079
TMBIM4	0.583	0.705	0.964	1.040	0.890	1.101	1.235	1.573	1.064	0.792	0.742	1.020	0.690	0.681	1.576	1.056	1.029	0.745	1.325	0.708	0.891	1.499	0.987	1.192	1.078	0.844	1.033	1.453	0.948	0.940	0.762	1.057	0.799	1.306	0.854	0.074	1.540	1.120	1.311	0.934	1.591	1.472	1.183	1.399	1.326	1.764	0.732	2.152	0.437
LDOC1	0.090	-0.098	-0.407	-0.244	0.163	-0.818	-0.460	-0.710	-0.229	-1.040	-0.261	0.011	-0.361	-0.343	-1.356	-0.147	-0.200	0.061	-0.483	-0.316	-0.791	-0.920	-0.064	-0.575	-0.458	-0.349	0.086	-0.624	-0.104	0.019	-0.399	-0.452	-0.229	-0.668	0.347	-4.452	-0.737	-0.170	-1.592	-0.165	-0.953	0.661	-0.514	-0.688	-0.563	-0.592	-0.224	-1.054	-0.606
UBAP2L	-1.436	-1.217	-1.331	-1.076	-1.462	-0.856	-1.398	-1.084	-1.198	-1.860	-1.236	-1.378	-1.200	-1.175	-1.256	-1.089	-0.975	-1.095	-1.050	-1.007	-1.203	-0.596	-0.871	-0.888	-1.140	-1.022	-0.894	-1.342	-1.265	-1.387	-1.170	-0.966	-1.317	-1.578	-1.196	-1.416	-1.807	-1.483	-0.222	-1.164	-2.000	-2.430	-0.328	-1.270	-1.290	-1.480	-1.214	-1.157	-1.381
HPRT1	-1.078	-1.546	-0.302	-1.860	-0.898	-1.058	-0.753	-0.429	-1.709	-1.505	-1.545	-1.146	-1.696	-1.464	1.282	-1.789	-1.044	-0.922	0.521	-1.461	-0.526	-1.420	-1.183	-1.256	-1.699	-1.317	-0.982	-1.085	-0.741	-1.300	-1.685	-0.738	-1.301	-0.648	-1.140	0.600	0.806	0.889	1.156	-0.746	1.637	-0.251	-1.006	-0.620	2.052	0.942	-0.828	1.437	-1.302
LGMN	-1.172	0.545	0.091	0.331	2.216	0.985	0.385	-0.274	0.024	0.455	0.432	0.432	0.191	0.353	1.043	0.407	0.362	-0.026	1.881	0.225	0.785	0.680	0.239	0.353	0.644	0.350	0.452	0.099	0.324	0.592	0.437	0.465	0.825	0.124	0.430	0.498	-0.239	1.243	1.473	-0.089	1.277	0.375	-0.421	1.733	1.599	1.107	0.376	1.749	-0.038
SERPINB2	-5.062	-4.763	-4.313	-4.397	-4.703	-5.905	-5.078	-4.351	-4.421	-4.909	-4.987	-4.895	-5.386	-4.766	-4.777	-5.375	-4.586	-5.001	-4.106	-4.361	-2.389	-5.761	-5.465	-6.310	-5.387	-5.099	-5.657	-4.694	-4.400	-5.074	-4.473	-4.414	-5.906	-4.673	-5.233	-5.471	-3.381	-2.944	-4.306	-4.688	-1.987	-4.139	-4.960	-4.201	-3.963	-4.169	-4.838	-4.222	-5.118
WDR34	-1.500	-0.849	-1.651	-1.064	-1.086	-1.716	-1.643	-1.190	-0.432	-0.929	-1.025	-0.875	-1.355	-0.750	-1.549	-0.811	-0.794	-1.183	-2.084	-1.057	-1.913	-1.612	-1.246	-1.103	-1.437	-0.788	-1.132	-1.022	-1.318	-1.498	-1.487	-1.508	-1.082	-1.825	-0.848	-1.243	-1.322	-1.940	-1.988	-0.798	-1.761	-1.017	-1.028	-1.625	-1.584	-1.922	-1.264	-2.088	-1.012
ZC3H14	-0.983	-0.689	-0.670	-1.151	-0.376	-0.735	-1.118	-1.597	-0.871	-0.493	-0.770	-1.163	-0.604	-0.858	-0.139	-0.631	-0.689	-0.967	-0.476	-0.688	-1.086	-1.177	-1.340	-1.399	-0.577	-0.783	-0.287	-0.678	-0.730	-0.713	-1.030	-1.177	-0.578	-1.005	-0.772	-1.034	-1.086	-0.400	-0.418	-0.727	-1.720	-1.198	-1.526	-0.456	-0.684	-0.435	-0.736	-0.314	-1.483
BEX2	0.960	1.582	-0.756	-2.224	1.079	-0.163	1.379	1.085	1.572	-2.991	0.188	-1.879	1.836	0.418	2.912	0.932	-2.380	1.477	2.898	0.499	-1.229	-0.914	0.610	2.026	2.466	1.449	1.413	1.115	0.498	-0.225	1.107	-0.256	1.808	0.801	1.998	-1.758	2.412	3.204	-4.028	1.023	0.247	2.828	1.244	1.793	3.540	2.473	1.618	2.948	0.677
TWISTNB	-0.569	-0.923	-0.845	-1.047	-0.530	-0.654	-0.102	-0.916	-0.740	-0.446	-1.063	-0.403	-0.920	-1.217	-0.275	-0.824	-0.658	-1.123	-0.238	-0.962	-0.508	-0.509	-0.428	-0.773	-0.978	-0.732	-1.021	-0.686	-0.313	-0.567	-1.117	-1.022	-0.558	-0.444	-0.614	-0.411	0.675	0.565	-0.589	0.095	-0.199	-0.144	-0.130	-0.668	0.334	0.079	-0.618	-0.143	-0.854
NRG2	-0.999	0.157	-0.659	-0.625	1.921	-0.657	-0.288	0.083	-0.521	-1.749	-0.265	-1.032	-0.595	-0.644	2.776	-0.099	-0.237	0.874	3.019	-1.187	-1.489	0.362	0.249	-0.358	0.151	0.229	-0.203	-0.795	-0.325	-0.366	-0.842	-1.672	1.070	-1.395	0.292	0.151	0.235	1.141	2.643	-0.176	0.255	0.385	-0.645	-1.250	3.676	2.451	-0.164	4.868	0.076
PIK3R1	2.530	1.770	1.837	0.409	0.222	1.388	1.273	1.857	1.324	1.911	1.453	0.990	1.452	1.770	-0.912	0.402	0.851	2.359	-0.348	0.860	3.625	1.539	0.841	1.269	0.579	1.294	2.596	1.208	2.197	1.476	2.656	1.688	1.736	2.155	0.229	0.761	-0.095	-0.117	-0.275	0.527	-1.058	1.534	0.720	0.289	-0.907	0.300	1.304	-1.450	1.268
SLC39A9	-0.030	0.569	0.749	0.033	1.176	0.018	0.081	-0.024	0.002	0.434	0.237	-0.412	0.576	0.264	1.320	0.586	0.582	-0.366	0.937	0.544	0.173	-0.239	-0.021	-0.243	0.653	0.418	0.507	0.396	0.640	0.241	0.013	-0.058	0.307	-0.262	0.525	-0.843	-0.052	1.244	0.923	0.670	1.020	0.642	-0.235	1.400	1.591	1.376	0.265	1.031	-0.014
MLH1	-0.559	-0.720	-0.558	-0.668	-0.380	-0.915	-0.661	-0.798	-1.058	-0.859	-0.685	-0.537	-0.644	-0.915	0.050	-0.749	-0.707	-1.087	-0.290	-0.828	-0.495	-1.056	-0.633	-0.607	-0.926	-0.923	-1.033	-0.089	-0.276	-0.562	-0.767	-0.589	-0.958	-0.544	-0.740	-0.943	0.338	-0.266	-0.223	-0.980	-0.119	0.555	-0.758	-0.568	-0.059	-0.025	-1.015	-0.138	-1.072
TRIM29	-2.230	-2.450	-1.966	-2.119	-2.171	-2.967	-0.969	-0.512	-2.166	-2.119	-2.160	-2.284	-2.433	-2.240	-2.042	-2.286	-2.087	-2.271	-1.911	-1.804	-1.871	-2.617	-2.704	-2.268	-2.665	-2.384	-2.714	-0.545	-1.478	-1.775	-1.090	-1.784	-1.858	-1.861	-2.180	-0.708	-1.583	-1.846	-1.949	-2.368	-0.989	-1.694	-1.918	-2.294	-1.503	-1.760	-2.195	-2.140	-4.551
ARMC2	0.024	0.414	0.865	0.760	-0.556	0.345	-0.781	-0.507	-0.326	0.060	0.441	0.440	0.081	0.440	-0.351	0.903	0.524	-0.840	0.032	0.486	-0.200	-0.507	0.405	0.495	0.597	1.218	0.850	0.251	0.168	0.192	-0.403	0.220	-0.019	-0.157	0.999	-0.188	0.237	-0.434	-0.334	0.247	-0.788	-0.300	0.562	0.193	-0.872	-0.887	0.807	-1.176	-1.142
RNASEH2B	-0.579	-0.993	-0.631	-0.853	-0.558	-0.901	-0.401	-0.917	-1.008	-1.026	-1.180	-0.919	-1.004	-1.088	-0.617	-1.570	-0.777	-0.652	-1.363	-1.161	-1.188	-1.110	-1.558	-0.856	-0.947	-0.969	-1.122	-0.761	-1.474	-1.283	-1.106	-0.708	-1.224	-0.591	-1.373	-0.657	0.032	-1.368	-1.790	-1.552	-0.236	0.036	-0.704	-0.229	-0.959	-0.731	-1.481	-0.168	-0.701
PPM1E	-1.118	-1.211	-1.516	-1.449	-0.872	-1.219	-1.400	-1.475	-1.151	-1.796	-1.278	-1.788	-1.851	-1.551	0.472	-1.637	-1.180	-1.355	0.151	-1.472	-1.974	-2.273	-1.602	-3.088	-1.826	-1.999	-1.260	0.388	-1.304	-1.627	-1.268	-1.533	-1.974	-0.418	-1.569	-1.811	2.068	-0.280	0.497	-1.431	-1.237	0.695	-1.764	-1.457	0.797	2.132	-1.413	2.125	-0.218
RPL3L	1.436	0.426	0.824	0.765	0.296	0.593	0.814	1.382	0.485	0.824	0.646	0.461	0.430	0.405	0.543	0.954	0.285	0.594	0.594	0.469	0.960	0.171	0.089	0.541	0.803	0.251	0.029	0.411	0.399	0.399	0.566	0.339	0.329	2.058	0.334	0.952	2.082	1.038	0.859	0.473	0.959	1.058	0.989	1.360	1.503	1.688	0.591	0.881	0.049
C1orf144	0.506	0.432	0.674	0.700	-0.048	0.026	-0.049	0.820	0.226	0.393	0.233	0.697	-0.119	0.221	0.134	0.286	0.355	0.259	0.321	0.503	0.932	-0.119	0.069	0.392	0.334	0.501	0.817	0.086	0.623	0.327	0.340	0.892	0.066	0.540	0.549	0.009	0.712	0.530	0.846	0.364	1.231	1.199	0.669	1.115	1.241	0.837	0.348	0.789	0.252
ZNF22	1.069	0.877	0.598	0.618	0.607	0.328	0.641	0.263	0.621	0.769	1.002	0.346	0.904	0.934	-0.281	1.150	0.924	0.603	-0.939	0.706	-0.109	1.081	1.051	0.964	0.757	0.917	0.549	0.429	1.053	0.893	0.314	0.407	1.145	0.905	1.008	0.357	0.838	-0.105	-0.371	0.227	0.613	1.069	0.813	0.469	-0.401	0.643	1.051	-0.015	0.237
TUBB4	-1.382	-1.051	-1.067	-1.016	-0.779	-1.179	-1.260	-0.837	-1.565	-1.229	-1.512	-1.542	-1.051	-1.480	-1.453	-1.378	-1.758	-1.246	-1.382	-1.480	-1.104	-1.311	-1.434	-1.477	-1.461	-1.602	-1.258	-1.081	-1.602	-1.387	-1.078	-1.527	-1.570	-1.133	-1.261	-1.456	-1.070	-1.228	-1.488	-1.258	-1.514	-1.256	-1.324	-0.801	-1.362	-0.518	-1.339	-1.286	-2.066
RGMA	-1.613	-0.862	-0.508	-1.079	-1.098	0.248	-0.062	-1.288	-0.349	0.177	-0.786	-1.374	-0.062	-1.039	-1.152	-0.832	-1.233	-1.036	-0.549	-1.093	-1.361	0.010	0.138	-0.845	-1.236	-1.324	-0.159	-0.719	0.027	-1.053	-0.983	-1.336	-0.351	-1.464	-1.139	-0.074	-1.148	-0.816	-0.945	-0.764	-1.058	-1.211	-0.891	-1.360	-1.194	-0.735	-0.580	-1.192	-1.036
KRT13	-1.324	-1.595	-0.822	-1.143	-1.574	-1.790	-1.471	-1.426	-1.550	-1.294	-1.344	-1.379	-1.579	-1.181	-1.643	-1.848	-0.907	-1.310	-1.316	-1.125	-1.137	-2.296	-2.089	-2.499	-1.451	-1.752	-1.979	-1.319	-1.757	-1.516	-1.038	0.064	-1.281	-1.110	-1.885	-1.282	-0.976	-0.845	-1.017	-1.409	-1.400	-0.891	-1.636	-1.371	-1.307	-1.369	-1.555	-1.776	-0.906
KIF5C	-0.723	0.093	-0.241	-0.585	-1.035	-0.188	0.009	-0.624	0.035	-0.624	-0.403	-0.530	-0.010	-0.510	-0.942	-0.378	-0.009	-0.067	-0.622	-0.636	-0.909	-0.065	0.710	-0.013	-0.147	0.094	-0.562	-1.195	-0.462	-0.026	-0.145	-0.037	0.119	-0.691	0.173	0.513	-0.419	-0.496	-0.816	-0.320	0.364	-0.934	0.229	-0.191	-0.536	-0.281	-0.712	-0.407	-0.379
HTRA1	0.114	1.670	2.274	1.330	0.436	2.410	1.514	1.071	1.112	1.647	1.857	1.215	2.040	0.961	-1.410	1.977	1.072	1.434	0.392	1.360	1.099	2.358	2.371	1.683	1.786	1.222	1.566	1.500	2.249	1.974	1.900	1.444	1.976	2.122	2.088	1.098	0.436	-0.447	-0.828	2.079	-0.798	0.232	0.675	0.026	0.113	0.025	1.667	-0.166	0.245
SLC22A10	0.369	0.360	0.271	0.323	0.255	0.275	-0.029	0.862	0.100	0.256	0.221	0.259	-0.039	-0.035	0.138	0.053	0.136	-0.245	0.356	0.135	0.281	0.775	0.695	0.194	0.336	0.230	1.228	0.112	0.381	0.143	0.273	0.224	-0.015	0.235	0.211	-0.363	0.075	-0.300	0.599	0.110	0.185	0.422	0.458	0.099	0.658	0.465	0.843	0.655	0.470
RPL27A	0.709	0.162	0.706	0.484	0.227	-0.169	0.109	0.455	0.104	0.214	0.375	0.480	0.117	0.253	0.009	0.487	-0.219	-0.077	-0.072	0.491	0.264	0.408	0.344	0.267	0.251	0.117	-0.204	0.548	0.471	0.647	0.131	0.197	0.567	1.002	0.101	0.622	0.641	0.263	0.159	0.047	0.200	0.074	0.892	0.565	-0.495	0.557	0.223	0.263	-0.110
ZC3HC1	0.672	-0.029	0.529	0.568	-0.002	0.255	1.113	0.827	0.234	0.778	0.380	1.022	0.175	0.267	-0.856	0.111	0.519	0.370	-0.659	-0.022	0.445	0.082	-0.388	0.045	0.089	0.305	0.226	0.564	-0.055	0.139	0.431	0.177	-0.307	0.732	0.287	-0.066	-0.092	-0.457	-0.445	0.890	-1.029	0.372	0.366	-0.064	-0.416	-0.697	0.206	-0.667	0.656
C1orf152	-0.256	0.214	0.233	0.639	0.307	-0.197	-0.009	0.289	-0.393	-0.117	-0.206	0.334	0.155	0.263	-0.530	-0.188	-0.237	-0.180	0.122	0.269	0.550	0.446	0.304	-0.017	-0.225	-0.250	-0.076	0.516	0.033	-0.150	0.653	0.661	-0.404	-0.905	0.040	1.581	-0.894	-1.194	-0.894	0.506	-0.747	-0.065	-0.097	-0.489	-0.602	-0.779	-0.198	-0.900	0.283
ZNF619	-0.069	-0.623	-0.234	-0.234	-0.330	-0.653	-0.812	-0.583	-0.111	-0.183	-0.541	-0.638	-0.482	-0.432	0.539	-0.138	-0.165	-0.523	0.395	-0.119	-0.378	-0.809	-0.122	-0.560	-0.241	-0.504	-0.492	-0.450	-0.510	-0.199	-0.701	-0.433	-0.814	-0.273	-0.266	-0.904	0.172	0.410	0.302	-0.510	0.837	0.546	-0.396	-0.078	0.992	0.788	-0.622	0.301	-1.950
SPIRE2	-0.303	-0.401	-0.636	-0.148	-0.563	-0.758	-0.237	0.193	-0.536	-0.471	-0.282	-0.248	-0.683	-0.412	-0.061	-0.377	-0.613	-0.115	0.049	-0.332	-0.450	-0.608	-0.966	-1.083	-0.529	-0.919	-1.666	-0.385	-0.450	-0.414	0.094	-0.270	-0.900	-0.105	-0.675	-1.560	0.397	0.297	0.076	-0.308	-0.275	0.302	-0.463	-0.307	0.268	0.027	-0.389	0.721	-2.760
PLEKHA9	-0.834	-1.203	-0.723	-0.435	-1.739	0.237	-0.483	0.263	-1.290	-0.871	-0.344	-0.659	-0.892	-0.489	-1.622	-0.892	-0.358	-0.547	-0.859	-1.296	0.397	1.034	-0.414	-0.949	-0.314	-0.807	-0.678	-1.645	-1.308	-0.909	-0.116	0.162	-1.422	-0.270	-0.532	0.165	-2.138	-1.642	-2.279	-1.845	-1.901	-2.035	-0.883	-1.960	-1.125	-0.618	-0.929	-0.596	-0.092
USP35	-0.749	-0.875	-0.455	-0.287	0.400	-0.037	-0.139	-0.116	-1.098	-0.759	-1.260	0.329	-1.041	-0.892	0.067	-0.718	-0.786	0.942	-0.376	-0.867	-0.605	-0.071	0.010	-0.657	-0.455	-0.676	-0.283	-0.330	-0.589	-0.500	-0.313	-0.248	-0.917	-0.213	-0.861	1.093	0.307	-0.930	-0.635	-0.215	-0.606	0.336	-0.086	-0.436	-0.892	-0.126	-0.871	0.049	-0.535
TYMS	-1.690	-1.630	-1.249	-1.899	-2.211	-1.939	-2.103	-2.594	-1.045	-1.184	-1.655	-1.558	-0.702	-1.660	-2.513	-2.329	-0.512	-1.687	-4.871	-2.764	-2.698	-2.353	-2.111	-2.598	-1.933	-1.824	-1.133	-1.998	-1.692	-2.614	-0.104	-1.803	-2.076	-2.444	-0.708	-2.809	-4.929	-6.217	-4.167	-1.682	-4.315	-5.133	-3.165	-2.817	-3.775	-4.585	-1.514	-5.425	-1.867
C9orf142	-0.534	-0.564	-0.621	-0.301	-0.045	-0.749	-0.587	-0.322	-0.907	-0.392	-0.683	0.006	-0.617	-0.461	-0.742	-1.116	-0.785	-0.479	-0.323	-0.690	-0.204	-0.725	-0.872	-0.781	-0.928	-0.971	-0.688	0.036	-0.416	-0.831	-0.541	-0.390	-0.798	-0.523	-0.734	0.806	0.199	-0.566	-0.178	-0.060	0.170	0.063	-0.158	-0.285	-0.327	-0.783	-0.985	-0.150	-0.173
COBLL1	1.357	1.041	0.470	1.669	1.559	0.875	1.048	1.229	1.311	1.047	0.699	1.603	1.593	1.166	3.328	1.692	0.921	1.835	2.913	1.013	0.778	1.448	0.904	0.293	1.129	1.210	2.181	3.195	1.940	1.306	1.559	0.793	1.779	1.129	1.244	-0.211	3.539	3.398	3.409	1.046	0.372	3.673	0.974	3.974	2.535	3.581	0.982	3.184	0.098
DPF3	0.088	0.084	0.408	0.391	0.043	-0.128	0.240	0.606	-0.062	0.180	0.130	0.202	0.172	-0.032	0.135	0.237	0.347	0.477	0.267	0.317	0.623	-0.297	-0.280	-0.316	0.280	0.026	-0.058	0.242	0.089	0.056	0.328	0.158	-0.087	0.531	0.070	-0.195	0.906	0.388	0.380	0.403	0.235	0.677	0.490	0.749	1.012	0.616	-0.031	0.464	-0.435
OR10H4	0.576	0.409	0.382	0.290	0.431	0.197	0.418	0.619	0.672	0.637	0.420	0.527	0.377	0.330	0.810	0.300	0.312	0.490	0.435	0.410	0.603	0.401	0.261	0.018	0.433	0.364	-0.027	0.780	0.501	0.363	0.374	0.441	0.400	0.897	0.486	0.852	1.050	0.868	0.805	0.612	0.158	0.782	0.786	0.793	-0.071	0.882	0.415	0.481	-0.957
UNC84A	-0.328	-0.105	0.149	-0.035	-0.269	0.213	0.126	-0.838	0.176	0.550	-0.023	0.167	0.355	-0.038	0.479	0.075	-0.177	-0.144	-0.295	0.356	-0.011	-0.375	0.051	0.091	-0.030	-0.079	-0.193	0.817	0.342	0.374	-0.276	-0.275	0.430	-0.192	0.239	-0.445	0.391	-0.026	0.330	0.531	-1.749	-0.205	-0.148	-0.114	0.010	-0.127	0.274	-0.054	-0.000
DKFZP564O0823	1.211	3.067	2.846	1.937	1.791	2.893	3.242	1.930	2.589	3.068	2.744	2.266	3.140	2.410	1.910	2.273	2.023	1.876	4.192	2.001	0.294	2.569	3.350	3.079	2.668	3.515	3.726	1.453	3.630	2.917	1.884	1.922	3.475	1.820	2.865	2.270	1.069	2.738	0.950	2.823	-0.622	2.292	2.683	2.371	1.373	2.301	3.013	4.538	2.226
FGF10	0.110	-0.188	0.452	-0.190	0.261	0.140	-0.363	0.572	0.004	-2.123	0.319	0.054	-0.716	-0.303	0.140	-0.301	-0.079	-0.365	0.693	-0.241	-0.527	0.056	0.259	0.090	0.623	0.241	0.537	0.533	-0.241	0.340	0.105	0.377	-0.524	0.317	0.427	0.622	0.959	0.630	-0.222	0.107	0.987	-0.521	0.411	-0.365	0.505	0.255	0.526	0.291	0.565
FLJ13611	0.563	0.186	0.896	0.458	1.103	-0.085	0.709	1.187	-0.061	0.618	-0.255	0.931	-0.150	-0.133	1.516	0.473	0.564	0.376	0.553	0.083	0.867	-0.259	-0.316	-0.138	0.095	0.244	0.292	0.830	0.675	0.507	-0.107	0.562	-0.364	0.949	0.123	-0.208	2.146	1.630	1.310	0.146	1.216	1.974	0.646	1.672	1.896	1.482	-0.206	1.672	0.497
IHPK3	2.208	2.339	1.067	1.757	5.659	2.227	2.666	0.671	1.906	2.368	1.062	3.345	1.875	1.971	1.789	2.225	1.542	2.683	0.495	1.095	0.959	1.387	2.340	2.432	2.107	2.834	3.658	1.030	0.948	2.176	1.654	1.254	4.875	3.246	1.903	1.151	4.295	-0.032	3.643	3.278	0.580	0.577	3.622	3.452	0.454	0.809	2.865	0.335	0.429
BMP15	-0.154	-0.109	-0.221	0.121	-0.011	0.074	0.076	0.204	0.224	-0.149	-0.040	-0.205	-0.024	-0.021	0.471	-0.699	0.183	-0.104	0.162	-0.020	0.044	-0.257	0.278	0.340	-0.009	-0.386	0.032	-0.562	-0.319	0.203	-0.021	0.199	-0.029	0.138	0.263	2.070	-0.448	-0.382	0.044	-0.079	0.783	0.322	0.283	0.535	0.472	0.041	-0.486	0.489	1.939
RSAD1	0.507	0.260	0.096	0.211	0.623	-0.016	0.467	-0.510	0.131	0.675	0.184	0.284	0.388	0.253	0.387	0.216	0.329	0.687	-0.387	0.415	-0.366	-0.273	-0.313	-0.166	0.381	0.273	0.251	0.087	0.171	0.396	0.656	0.811	0.239	-0.219	0.103	0.522	1.005	-0.408	0.262	0.217	-1.418	1.712	0.663	-0.091	-0.918	-0.582	0.145	-1.129	0.805
TUBB	-1.618	-1.695	-1.448	-1.204	-1.771	-1.850	-1.872	-2.044	-2.069	-1.441	-1.543	-1.824	-1.581	-1.486	-2.397	-1.933	-1.740	-2.140	-2.153	-1.532	-1.793	-1.286	-1.598	-1.664	-2.370	-2.214	-1.555	-1.839	-1.995	-1.655	-1.819	-1.677	-2.104	-2.428	-1.492	-1.908	-2.051	-2.779	-2.347	-1.566	-2.621	-2.881	-1.922	-2.120	-2.500	-2.194	-1.618	-2.817	-1.675
MTMR4	-0.531	-0.479	-0.734	-0.419	0.365	-0.381	-0.877	0.674	-0.899	-0.011	-0.160	-0.604	-0.466	-0.326	0.210	0.098	-0.870	-0.447	-0.697	-0.246	-0.884	0.672	-0.646	-0.986	-0.608	-0.950	-0.497	-0.287	-0.591	-0.631	-0.256	-0.305	-0.938	-0.748	-0.742	-1.109	-0.742	-0.822	0.211	-0.905	-0.546	-0.763	-0.735	-1.028	-0.874	-0.942	-0.440	-0.739	-0.402
MS4A5	0.248	0.405	0.364	0.137	0.169	0.719	0.236	0.474	0.043	0.463	0.295	0.356	0.444	0.168	2.840	0.461	-0.238	0.038	0.111	0.144	0.484	0.670	0.365	0.044	0.317	0.357	0.630	0.124	0.460	0.285	0.381	0.276	0.326	0.482	0.044	0.875	-0.024	0.277	0.536	0.274	-0.179	0.613	0.405	-0.236	0.938	-0.007	0.343	4.159	-0.009
TMEM109	-0.040	0.377	-0.141	0.114	-0.464	0.009	-0.188	-0.636	-0.101	0.255	0.017	0.370	-0.064	0.004	-0.109	-0.088	0.238	-0.015	-0.226	0.156	-0.388	-0.033	0.100	0.180	-0.396	-0.248	0.013	-0.578	-0.140	0.565	0.404	0.337	-0.058	-0.414	0.002	-0.983	-0.471	-0.378	-0.267	-0.062	-0.187	-0.319	-0.602	-1.142	-0.873	-0.458	0.041	-0.703	-0.354
C10orf57	1.080	0.224	1.077	0.951	1.148	0.038	1.171	0.687	0.896	0.543	0.760	0.712	0.788	0.798	1.010	0.299	0.016	0.872	-0.039	0.529	0.232	0.519	0.475	0.654	0.893	0.957	0.980	1.418	0.106	0.061	0.914	1.190	0.293	0.626	0.667	0.215	-0.291	-0.571	-0.106	0.673	0.726	1.247	0.888	0.597	-0.091	0.758	1.060	-0.304	0.837
HINT3	-0.153	-0.117	0.381	0.120	-0.139	-0.753	-0.847	0.079	-0.615	-0.201	-0.443	0.041	-1.381	-0.386	1.346	0.357	0.008	-0.594	1.256	-0.043	-0.318	-1.071	-0.593	-0.181	-0.073	-0.157	-0.085	-0.412	-0.101	-0.261	-0.922	0.119	-1.035	-0.791	-0.092	-1.296	1.433	1.821	1.852	-0.544	1.122	1.479	-0.152	1.587	1.020	2.015	-0.572	1.223	0.218
IFNG	1.168	1.688	1.541	1.973	1.127	1.000	3.981	4.044	0.561	1.044	1.723	4.053	0.590	1.412	0.257	2.772	0.939	1.882	0.009	1.241	3.669	4.250	2.397	5.732	1.967	4.241	1.806	0.467	0.936	3.403	1.480	4.104	0.719	2.099	2.824	5.440	0.735	0.505	-0.017	2.346	0.138	1.111	5.557	-0.085	1.217	0.637	0.762	1.768	3.852
